url,image,YUV_values
https://i.pinimg.com/474x/2c/1a/8f/2c1a8ff8738cf08634d2fd8096efff8f.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x632 at 0x130A3EFD0>,"(np.float64(76.26864515698286), np.float64(121.46780390913187), np.float64(133.8399158752149))"
https://i.pinimg.com/474x/27/41/ba/2741ba0404a391fba4062fb288d2d070.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x130A176D0>,"(np.float64(107.78337597913088), np.float64(117.18595824750719), np.float64(140.27571755415065))"
https://i.pinimg.com/474x/29/2a/3b/292a3b8945e577f0bed4d9dd8da1afc4.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x459 at 0x1309F07C0>,"(np.float64(123.88212772216247), np.float64(114.84601913901989), np.float64(146.6193706737266))"
https://i.pinimg.com/474x/29/2a/3b/292a3b8945e577f0bed4d9dd8da1afc4.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x459 at 0x1309F0430>,"(np.float64(123.88212772216247), np.float64(114.84601913901989), np.float64(146.6193706737266))"
https://i.pinimg.com/474x/28/6e/28/286e285f45063d1a1b1b825a7944e7e6.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x738 at 0x130401550>,"(np.float64(131.5348639747504), np.float64(112.99397349251547), np.float64(147.63526478895787))"
https://i.pinimg.com/474x/29/04/fd/2904fd7d56ca0d35d964c7aa48177dd0.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x967 at 0x13093F640>,"(np.float64(160.44246515270848), np.float64(108.57899192114444), np.float64(146.41110095405983))"
https://i.pinimg.com/474x/93/3f/1f/933f1f7b324b59d882d82b9422c54a9d.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x473 at 0x1309F0880>,"(np.float64(119.98986720541369), np.float64(120.04796427821158), np.float64(139.88136093219921))"
https://i.pinimg.com/474x/25/7b/8b/257b8bd03830a965fe8762f7d2dcd328.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x682 at 0x1309F0FA0>,"(np.float64(165.78359441701622), np.float64(118.58790229778388), np.float64(139.40060259598846))"
https://i.pinimg.com/474x/26/6c/5e/266c5e08cd3349a0d83481eb0733ecc0.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x488 at 0x1309F0B50>,"(np.float64(200.280894045858), np.float64(123.96810743343195), np.float64(136.36499167899407))"
https://i.pinimg.com/474x/22/97/d7/2297d7620de60ad0127ee11df54f0d50.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x932 at 0x130A175E0>,"(np.float64(232.06048120246223), np.float64(125.21824317586372), np.float64(131.11311158856645))"
https://i.pinimg.com/474x/22/c5/ab/22c5ab6059d872cde927c8cfa8ae2a9d.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x1309F0640>,"(np.float64(116.46461871387734), np.float64(113.00716887372987), np.float64(145.40005432314254))"
https://i.pinimg.com/474x/25/30/69/2530694ed109e47fb80b87186dc9da8c.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=466x746 at 0x1309F0970>,"(np.float64(109.26525363757185), np.float64(112.86417430427304), np.float64(146.46339414651547))"
https://i.pinimg.com/474x/1f/f2/f4/1ff2f40239c5863cb63aa03c277e1918.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x645 at 0x1309F0400>,"(np.float64(89.82815040683656), np.float64(122.48114025473498), np.float64(137.35135497675452))"
https://i.pinimg.com/474x/20/f1/08/20f1086a3480caf9970e4d2cdd740bb9.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x1309F0250>,"(np.float64(121.62023239390649), np.float64(115.07877714278932), np.float64(145.87368180550362))"
https://i.pinimg.com/474x/24/4d/a7/244da7ed41f5d7175155c7cfcce3ce62.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x594 at 0x1309F0670>,"(np.float64(134.4810730369802), np.float64(125.60357797383114), np.float64(134.3377764991689))"
https://i.pinimg.com/474x/1f/31/a0/1f31a05165780599a04721cb7dd33d9f.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x850 at 0x130A173D0>,"(np.float64(100.14065842967699), np.float64(116.14109774682426), np.float64(139.0453936231999))"
https://i.pinimg.com/474x/1e/e4/2d/1ee42d85eaa8d77ceef8220b938ea521.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x1309F0F40>,"(np.float64(70.18714191372017), np.float64(127.58861352562158), np.float64(130.46401734877827))"
https://i.pinimg.com/474x/1f/07/ad/1f07ad6fa82b49628bdbd930148f4f2f.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x591 at 0x130A3EF70>,"(np.float64(140.10854019324813), np.float64(118.32281594207565), np.float64(134.24383176466802))"
https://i.pinimg.com/474x/1f/c4/90/1fc490565bcd002614f47d3ed27d01a9.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x130A17580>,"(np.float64(47.46653993188502), np.float64(125.49825243065591), np.float64(131.48506148524027))"
https://i.pinimg.com/474x/1c/82/65/1c82652d7cbd1415ec22ae487f93e95a.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=422x640 at 0x1309F08E0>,"(np.float64(159.6505563656467), np.float64(110.32540433442047), np.float64(146.87635659346165))"
https://i.pinimg.com/474x/1d/92/63/1d92635c20087926daf428d884b181f8.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x842 at 0x130A40B50>,"(np.float64(57.50888474141687), np.float64(123.15789022968096), np.float64(133.57414193925382))"
https://i.pinimg.com/474x/1d/05/2b/1d052b569b0a6aa895ab6e69970e4a1f.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x593 at 0x130A40970>,"(np.float64(93.2551319961143), np.float64(120.99519625948739), np.float64(137.68822300742622))"
https://i.pinimg.com/474x/1d/46/88/1d46880a32b27575c209bdbe71a973f0.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x599 at 0x130A405B0>,"(np.float64(63.573226871044206), np.float64(116.72737999218087), np.float64(148.90502220703792))"
https://i.pinimg.com/474x/1a/9c/14/1a9c14c15a53abb674da066b8df907de.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x686 at 0x130A40FD0>,"(np.float64(137.70519007939072), np.float64(122.77283674919487), np.float64(132.18558540269024))"
https://i.pinimg.com/474x/1b/4c/eb/1b4cebacf74a6a9d8939bcd563759ad7.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x130A40FA0>,"(np.float64(168.68587618945793), np.float64(116.51052247050858), np.float64(150.77509889874906))"
https://i.pinimg.com/474x/1b/9f/3b/1b9f3b3bb949d59d19a8080a99551fb8.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x130A40B80>,"(np.float64(111.60104640839027), np.float64(123.5921531248237), np.float64(133.66553236472262))"
https://i.pinimg.com/474x/1b/04/df/1b04df5a49092aa856a7c24f3bedc2af.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x130A40D90>,"(np.float64(118.81651627893717), np.float64(118.60018246094195), np.float64(140.47816883339036))"
https://i.pinimg.com/474x/4f/46/24/4f4624db688e36cd07e7eeadc4f1d47e.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x642 at 0x130A402B0>,"(np.float64(89.4443458601154), np.float64(126.96272526519185), np.float64(127.40313103829016))"
https://i.pinimg.com/474x/18/b5/6f/18b56f6f0d5a706d3a5743c2a6d3b790.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=467x700 at 0x130A40730>,"(np.float64(142.98889592243202), np.float64(116.75405826861616), np.float64(142.3637573530547))"
https://i.pinimg.com/474x/19/ce/63/19ce63f91d6e7a8616ff0b0af2aea053.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x130A405E0>,"(np.float64(81.74848169124456), np.float64(120.9914110921137), np.float64(138.2502092683622))"
