url,image,YUV_values
https://i.pinimg.com/474x/27/79/e3/2779e3918c3370f6c0186f48446e0e42.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF58F10>,"(np.float64(223.6698357167973), np.float64(121.54222803808202), np.float64(138.92242948640913))"
https://i.pinimg.com/474x/2a/74/79/2a7479374271c2cb2f3aae049c2ba8df.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x644 at 0x10CF58F40>,"(np.float64(117.06716997381109), np.float64(123.49251392388979), np.float64(134.07557725023472))"
https://i.pinimg.com/474x/29/58/b4/2958b4b89994add3bdb2031b3bed76c6.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CD90340>,"(np.float64(118.88327672701212), np.float64(113.91916795384842), np.float64(138.7950687955985))"
https://i.pinimg.com/474x/26/20/af/2620af324b68dbf1a6e00711a9a53109.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x633 at 0x10CF58E20>,"(np.float64(101.51536699086196), np.float64(112.52731389942821), np.float64(147.1332295730241))"
https://i.pinimg.com/474x/24/d2/e3/24d2e3638fd718937756d932918aef91.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x10CDA8670>,"(np.float64(93.16735223749933), np.float64(122.27460109971157), np.float64(134.07205989050854))"
https://i.pinimg.com/474x/24/97/e3/2497e395ef143f1c51d46f6ed9cd92fe.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10C8910D0>,"(np.float64(123.96341843365558), np.float64(123.07891363563532), np.float64(135.9307447168367))"
https://i.pinimg.com/474x/24/74/b1/2474b1c51199c32fbeafd1334d36f4e7.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CD88940>,"(np.float64(87.51718902360291), np.float64(114.81562929948217), np.float64(146.05383118646785))"
https://i.pinimg.com/474x/24/74/b1/2474b1c51199c32fbeafd1334d36f4e7.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF58BE0>,"(np.float64(87.51718902360291), np.float64(114.81562929948217), np.float64(146.05383118646785))"
https://i.pinimg.com/474x/25/ea/94/25ea941546601369d7dc85b2c1af7c29.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x918 at 0x10CF72D30>,"(np.float64(125.63947328039782), np.float64(115.74143352414738), np.float64(144.91673190409188))"
https://i.pinimg.com/474x/22/2f/29/222f291cf61e9663cd4a4d7b35ae9795.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x631 at 0x10CF726A0>,"(np.float64(109.85230016094421), np.float64(112.38545131437768), np.float64(149.06560488197425))"
https://i.pinimg.com/474x/1f/43/b2/1f43b2f90cefd3c31abb8aceeceb9bf8.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF72820>,"(np.float64(158.10104563144165), np.float64(113.84990876562745), np.float64(146.74095140344124))"
https://i.pinimg.com/474x/21/44/c3/2144c32cb711aabadb5b0289f11a1345.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF728B0>,"(np.float64(126.48003347041963), np.float64(106.91823336715981), np.float64(154.2735717210561))"
https://i.pinimg.com/474x/1d/b6/34/1db6346ee23b1bbc43474f4e92bd7201.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=286x467 at 0x10CF726D0>,"(np.float64(199.119346106734), np.float64(125.05270161961074), np.float64(130.28604049782993))"
https://i.pinimg.com/474x/1f/4a/84/1f4a8453204c9beeddf1601aee5042c3.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x10CF72A60>,"(np.float64(198.08325961930802), np.float64(123.49361889699992), np.float64(132.026179647781))"
https://i.pinimg.com/474x/1e/97/33/1e9733eeed731f68f5f10f8fac3d9476.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF729A0>,"(np.float64(70.69026465953905), np.float64(122.9519820533592), np.float64(136.15502568256878))"
https://i.pinimg.com/474x/b0/93/a3/b093a3add2552a6aba987926a2e06418.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF727F0>,"(np.float64(103.01819331116482), np.float64(120.82207769661196), np.float64(124.11329086595175))"
https://i.pinimg.com/474x/1d/4f/55/1d4f55c1a4b04d8fd7ed668007981869.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x400 at 0x10CF72AF0>,"(np.float64(175.18856528169962), np.float64(124.8285383891354), np.float64(131.82971628344762))"
https://i.pinimg.com/474x/1f/4a/84/1f4a8453204c9beeddf1601aee5042c3.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x10CF72280>,"(np.float64(198.08325961930802), np.float64(123.49361889699992), np.float64(132.026179647781))"
https://i.pinimg.com/474x/1b/e7/be/1be7be32f178c579071d7c73ca1607e3.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x580 at 0x10CF72550>,"(np.float64(135.91909268274892), np.float64(108.64801342012655), np.float64(146.52816220848604))"
https://i.pinimg.com/474x/b1/d8/d5/b1d8d505acd66383e72c8fba2e9f81ff.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x579 at 0x10CF72CD0>,"(np.float64(189.34742267266702), np.float64(124.71680578198838), np.float64(131.63930565051126))"
https://i.pinimg.com/474x/4d/0c/e7/4d0ce76eb3f7de09704746c84f7765e8.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF72040>,"(np.float64(233.9146103722694), np.float64(124.85735904146415), np.float64(130.21693015720416))"
https://i.pinimg.com/474x/1d/1b/6e/1d1b6ee1102fe5104d8ccc91b9abc0ec.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF72910>,"(np.float64(110.44314367872373), np.float64(116.66243645784184), np.float64(141.86404426362319))"
https://i.pinimg.com/474x/17/60/3c/17603c7b868e1c7fa0eb09d090b93f89.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x580 at 0x10CF72EB0>,"(np.float64(108.35247180444276), np.float64(109.73654377510626), np.float64(143.57512375425577))"
